Total Nacional;Comunidades y Ciudades Autónomas;Gasto;Total
Total Nacional;;Gasto medio por centro (euros);348.804
Total Nacional;01 Andalucía;Gasto medio por centro (euros);275.190
Total Nacional;02 Aragón;Gasto medio por centro (euros);368.301
Total Nacional;03 Asturias, Principado de;Gasto medio por centro (euros);395.891
Total Nacional;04 Balears, Illes;Gasto medio por centro (euros);318.731
Total Nacional;05 Canarias;Gasto medio por centro (euros);445.153
Total Nacional;06 Cantabria;Gasto medio por centro (euros);573.320
Total Nacional;07 Castilla y León;Gasto medio por centro (euros);235.180
Total Nacional;08 Castilla - La Mancha;Gasto medio por centro (euros);338.167
Total Nacional;09 Cataluña;Gasto medio por centro (euros);479.998
Total Nacional;10 Comunitat Valenciana;Gasto medio por centro (euros);334.160
Total Nacional;11 Extremadura;Gasto medio por centro (euros);344.144
Total Nacional;12 Galicia;Gasto medio por centro (euros);236.134
Total Nacional;13 Madrid, Comunidad de;Gasto medio por centro (euros);777.764
Total Nacional;14 Murcia, Región de;Gasto medio por centro (euros);222.489
Total Nacional;15 Navarra, Comunidad Foral de;Gasto medio por centro (euros);642.366
Total Nacional;16 País Vasco;Gasto medio por centro (euros);275.623
Total Nacional;17 Rioja, La;Gasto medio por centro (euros);356.521
Total Nacional;18 Ceuta;Gasto medio por centro (euros);3.007.663
Total Nacional;19 Melilla;Gasto medio por centro (euros);1.697.448
