DENOMINACIÓN;LOCALIDAD;PROVINCIA;FECHA DE CELEBRACION DE LA FIESTA ;FECHA_Resolucion;FIESTAS_de_interes_turistico;FIESTAS_INTERES_REGIONAL;FECHA_BOE;FECHA_ACTUALIZACION_BOE;OBSERVACIONES
SEMANA SANTA Y TAMBORADA ;AGRAMÓN;ALBACETE;Fecha variable según calendario nacional;23/02/2016;;26/02/2016;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE JUDAS Y MUÑECAS;ALAMILLO;CIUDAD REAL;Sábado de gloria;21/03/2022;;29/03/2022;;;
CABALGATA AÉREA DE LOS REYES MAGOS;ALARILLA;GUADALAJARA;5 de enero;20/12/2018;;28/12/2018;;;
FERIA DE ALBACETE;ALBACETE;ALBACETE;7-17 de septiembre;31/07/2008;;X;16/02/1980;01/09/2008;
SEMANA SANTA;ALBACETE;ALBACETE;Fecha variable según calendario nacional;28/03/2017;;24/10/1997;31/03/2017;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
ROMERÍA VIRGEN NTRA. SRA. DE CORTES;ALCARAZ;ALBACETE;8 de septiembre;12/12/2014;;26/12/2014;;;
CARNAVAL DE ALCÁZAR DE SAN JUAN;ALCÁZAR DE SAN JUAN;CIUDAD REAL;25-28 de diciembre;27/11/1991;11/12/2018;11/12/1991;20/12/2018;;
FIESTA DE MOROS Y CRISTIANOS;ALCÁZAR DE SAN JUAN;CIUDAD REAL;Fin de semana más próximo al 24 de junio;30/05/2016;;07/06/2016;;;
CARNAVALES;ALMADÉN;CIUDAD REAL;Fecha variable según calendario nacional;18/02/2009;;03/03/2009;;;
FIESTAS MAYORES DE ALMANSA;ALMANSA;ALBACETE;30 de abril-6 de mayo;23/04/2019;;X;24/11/2008;02/05/2019;
ENCIERROS DE ALMODÓVAR DEL CAMPO;ALMODÓVAR DEL CAMPO;CIUDAD REAL;13-17 de septiembre;27/11/1991;;11/12/1991;;;
LA ENDIABLADA;ALMONACID DEL MARQUESADO;CUENCA;1,2,3 de febrero;25/01/2010;16/02/1980;04/02/2010;;;
LA CABALLADA;ATIENZA;GUADALAJARA;Fecha variable según calendario nacional. Domingo de Pentescostés.;11/02/1986;;18/02/1986;16/02/1980;;Fiesta de i.t. reclasificada como fiesta de i.t.nacional por Resolución de fecha 18/1/80 de la Sª. de Estado de Turismo en 1980 - Domingo Pentecostés
