Tarifa media mensual (ADR) e ingresos diarios por habitación disponible (RevPAR) en los establecimientos hoteleros de la C.A. de Euskadi por territorio histórico y zona geográfica. 2022
 ADR (euros);RevPAR (euros)
2022;2021;2022/2021;2022;2021;2022/2021
C.A. DE EUSKADI;98,73;84,56;16,76;62,71;41,27;51,95
ARABA/ÁLAVA;81,18;73,18;10,93;50,95;37,2;36,96
Vitoria-Gasteiz ;67,8;63,55;6,69;44,53;33,78;31,82
Rioja Alavesa;181,79;155,08;17,22;101,74;74,14;37,23
Resto Álava;67,85;59,07;14,86;35,01;24,03;45,69
BIZKAIA;91,1;74,06;23,01;56,39;34,4;63,92
Bilbao ;100,66;78,95;27,5;66,11;36,98;78,77
Área metropolitana (*);67,09;59,52;12,72;39,69;27,76;42,98
Bizkaia costa;82,78;76,46;8,27;46,64;38,87;19,99
Bizkaia interior;67,91;64,38;5,48;33,1;25,3;30,83
GIPUZKOA;113,07;100,48;12,53;74,3;51,21;45,09
Donostia / San Sebastián;138,84;121,43;14,34;96,12;65,67;46,37
Área metropolitana (*);59,8;56,18;6,44;35,55;27,96;27,15
Gipuzkoa costa (*);85,25;81,18;5,01;58,04;44,38;30,78
Gipuzkoa interior;59,13;62,99;="-6,13";31,29;22,17;41,14
(*) No incluye la capital
Fuente: Eustat. Encuesta de establecimientos turísticos receptores
